Id,stockpx,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_1,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_2,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_3,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_4,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_5,len,datetime,open,high,low,close,volume,openinterest,10dORHV,len,datetime,open,high,low,close,volume,openinterest,TestStrategy,len,datetime,PSAR,len,psar,SMA_Crossup_50_200,len,sma_up_50_200,SMA_Crossdown_50_200,len,sma_down_50_200,SMA_Crossup_5_30,len,sma_up_5_30,SMA_Crossdown_5_30,len,sma_down_5_30,EMA_Crossup_12_26,len,ema_up_12_26,EMA_Crossdown_12_26,len,ema_down_12_26,MACD_Crossup,len,macd_up,MACD_Crossdown,len,macd_down,DEMA_CrossUp_21_55,len,dema_up_21_55,DEMA_CrossDown_21_55,len,dema_down_21_55,PSAR_above,len,psar_above,PSAR_below,len,psar_below,ADX_up,len,adx_up,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,stockpx,stockpx_lag_1,stockpx_lag_2,stockpx_lag_3,stockpx_lag_4,stockpx_lag_5,10dORHV
1,stockpx,1,2010-01-04 00:00:00,,31.1,30.59,30.950001,38409100.0,,stockpx_lag_1,1,2010-01-04 00:00:00,,,,30.959999,,,stockpx_lag_2,1,2010-01-04 00:00:00,,,,30.77,,,stockpx_lag_3,1,2010-01-04 00:00:00,,,,30.450001,,,stockpx_lag_4,1,2010-01-04 00:00:00,,,,30.66,,,stockpx_lag_5,1,2010-01-04 00:00:00,,,,30.27,,,10dORHV,1,2010-01-04 00:00:00,,,,15.67,,,TestStrategy,1,733776.0,PSAR,1,,SMA_Crossup_50_200,1,,SMA_Crossdown_50_200,1,,SMA_Crossup_5_30,1,,SMA_Crossdown_5_30,1,,EMA_Crossup_12_26,1,,EMA_Crossdown_12_26,1,,MACD_Crossup,1,,MACD_Crossdown,1,,DEMA_CrossUp_21_55,1,,DEMA_CrossDown_21_55,1,,PSAR_above,1,,PSAR_below,1,,ADX_up,1,,Broker,1,100000.0,100000.0,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,DataTrades,1,,,,,,,
2,stockpx,2,2010-01-05 00:00:00,,31.1,30.639999,30.959999,49749600.0,,stockpx_lag_1,2,2010-01-05 00:00:00,,,,30.77,,,stockpx_lag_2,2,2010-01-05 00:00:00,,,,30.450001,,,stockpx_lag_3,2,2010-01-05 00:00:00,,,,30.66,,,stockpx_lag_4,2,2010-01-05 00:00:00,,,,30.27,,,stockpx_lag_5,2,2010-01-05 00:00:00,,,,30.07,,,10dORHV,2,2010-01-05 00:00:00,,,,12.79,,,TestStrategy,2,733777.0,PSAR,2,30.59,SMA_Crossup_50_200,2,,SMA_Crossdown_50_200,2,,SMA_Crossup_5_30,2,,SMA_Crossdown_5_30,2,,EMA_Crossup_12_26,2,,EMA_Crossdown_12_26,2,,MACD_Crossup,2,,MACD_Crossdown,2,,DEMA_CrossUp_21_55,2,,DEMA_CrossDown_21_55,2,,PSAR_above,2,0.0,PSAR_below,2,1.0,ADX_up,2,,Broker,2,100000.0,100000.0,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,DataTrades,2,,,,,,,
3,stockpx,3,2010-01-06 00:00:00,,31.08,30.52,30.77,58182400.0,,stockpx_lag_1,3,2010-01-06 00:00:00,,,,30.450001,,,stockpx_lag_2,3,2010-01-06 00:00:00,,,,30.66,,,stockpx_lag_3,3,2010-01-06 00:00:00,,,,30.27,,,stockpx_lag_4,3,2010-01-06 00:00:00,,,,30.07,,,stockpx_lag_5,3,2010-01-06 00:00:00,,,,30.35,,,10dORHV,3,2010-01-06 00:00:00,,,,12.7,,,TestStrategy,3,733778.0,PSAR,3,31.1,SMA_Crossup_50_200,3,,SMA_Crossdown_50_200,3,,SMA_Crossup_5_30,3,,SMA_Crossdown_5_30,3,,EMA_Crossup_12_26,3,,EMA_Crossdown_12_26,3,,MACD_Crossup,3,,MACD_Crossdown,3,,DEMA_CrossUp_21_55,3,,DEMA_CrossDown_21_55,3,,PSAR_above,3,1.0,PSAR_below,3,0.0,ADX_up,3,,Broker,3,100000.0,100000.0,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,DataTrades,3,,,,,,,
4,stockpx,4,2010-01-07 00:00:00,,30.700001,30.190001000000002,30.450001,50559700.0,,stockpx_lag_1,4,2010-01-07 00:00:00,,,,30.66,,,stockpx_lag_2,4,2010-01-07 00:00:00,,,,30.27,,,stockpx_lag_3,4,2010-01-07 00:00:00,,,,30.07,,,stockpx_lag_4,4,2010-01-07 00:00:00,,,,30.35,,,stockpx_lag_5,4,2010-01-07 00:00:00,,,,30.959999,,,10dORHV,4,2010-01-07 00:00:00,,,,12.97,,,TestStrategy,4,733779.0,PSAR,4,31.1,SMA_Crossup_50_200,4,,SMA_Crossdown_50_200,4,,SMA_Crossup_5_30,4,,SMA_Crossdown_5_30,4,,EMA_Crossup_12_26,4,,EMA_Crossdown_12_26,4,,MACD_Crossup,4,,MACD_Crossdown,4,,DEMA_CrossUp_21_55,4,,DEMA_CrossDown_21_55,4,,PSAR_above,4,1.0,PSAR_below,4,0.0,ADX_up,4,,Broker,4,100000.0,100000.0,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,DataTrades,4,,,,,,,
5,stockpx,5,2010-01-08 00:00:00,,30.879998999999998,30.24,30.66,51197400.0,,stockpx_lag_1,5,2010-01-08 00:00:00,,,,30.27,,,stockpx_lag_2,5,2010-01-08 00:00:00,,,,30.07,,,stockpx_lag_3,5,2010-01-08 00:00:00,,,,30.35,,,stockpx_lag_4,5,2010-01-08 00:00:00,,,,30.959999,,,stockpx_lag_5,5,2010-01-08 00:00:00,,,,30.860001,,,10dORHV,5,2010-01-08 00:00:00,,,,13.25,,,TestStrategy,5,733780.0,PSAR,5,31.08,SMA_Crossup_50_200,5,,SMA_Crossdown_50_200,5,,SMA_Crossup_5_30,5,,SMA_Crossdown_5_30,5,,EMA_Crossup_12_26,5,,EMA_Crossdown_12_26,5,,MACD_Crossup,5,,MACD_Crossdown,5,,DEMA_CrossUp_21_55,5,,DEMA_CrossDown_21_55,5,,PSAR_above,5,1.0,PSAR_below,5,0.0,ADX_up,5,,Broker,5,100000.0,100000.0,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,DataTrades,5,,,,,,,
6,stockpx,6,2010-01-11 00:00:00,,30.76,30.120001000000002,30.27,68754700.0,,stockpx_lag_1,6,2010-01-11 00:00:00,,,,30.07,,,stockpx_lag_2,6,2010-01-11 00:00:00,,,,30.35,,,stockpx_lag_3,6,2010-01-11 00:00:00,,,,30.959999,,,stockpx_lag_4,6,2010-01-11 00:00:00,,,,30.860001,,,stockpx_lag_5,6,2010-01-11 00:00:00,,,,31.1,,,10dORHV,6,2010-01-11 00:00:00,,,,13.67,,,TestStrategy,6,733783.0,PSAR,6,30.9020002,SMA_Crossup_50_200,6,,SMA_Crossdown_50_200,6,,SMA_Crossup_5_30,6,,SMA_Crossdown_5_30,6,,EMA_Crossup_12_26,6,,EMA_Crossdown_12_26,6,,MACD_Crossup,6,,MACD_Crossdown,6,,DEMA_CrossUp_21_55,6,,DEMA_CrossDown_21_55,6,,PSAR_above,6,1.0,PSAR_below,6,0.0,ADX_up,6,,Broker,6,100000.0,100000.0,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,DataTrades,6,,,,,,,
7,stockpx,7,2010-01-12 00:00:00,,30.4,29.91,30.07,65912100.0,,stockpx_lag_1,7,2010-01-12 00:00:00,,,,30.35,,,stockpx_lag_2,7,2010-01-12 00:00:00,,,,30.959999,,,stockpx_lag_3,7,2010-01-12 00:00:00,,,,30.860001,,,stockpx_lag_4,7,2010-01-12 00:00:00,,,,31.1,,,stockpx_lag_5,7,2010-01-12 00:00:00,,,,30.59,,,10dORHV,7,2010-01-12 00:00:00,,,,13.56,,,TestStrategy,7,733784.0,PSAR,7,30.879998999999998,SMA_Crossup_50_200,7,,SMA_Crossdown_50_200,7,,SMA_Crossup_5_30,7,,SMA_Crossdown_5_30,7,,EMA_Crossup_12_26,7,,EMA_Crossdown_12_26,7,,MACD_Crossup,7,,MACD_Crossdown,7,,DEMA_CrossUp_21_55,7,,DEMA_CrossDown_21_55,7,,PSAR_above,7,1.0,PSAR_below,7,0.0,ADX_up,7,,Broker,7,100000.0,100000.0,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,DataTrades,7,,,,,,,
8,stockpx,8,2010-01-13 00:00:00,,30.52,30.01,30.35,51863500.0,,stockpx_lag_1,8,2010-01-13 00:00:00,,,,30.959999,,,stockpx_lag_2,8,2010-01-13 00:00:00,,,,30.860001,,,stockpx_lag_3,8,2010-01-13 00:00:00,,,,31.1,,,stockpx_lag_4,8,2010-01-13 00:00:00,,,,30.59,,,stockpx_lag_5,8,2010-01-13 00:00:00,,,,30.01,,,10dORHV,8,2010-01-13 00:00:00,,,,14.22,,,TestStrategy,8,733785.0,PSAR,8,30.76,SMA_Crossup_50_200,8,,SMA_Crossdown_50_200,8,,SMA_Crossup_5_30,8,,SMA_Crossdown_5_30,8,,EMA_Crossup_12_26,8,,EMA_Crossdown_12_26,8,,MACD_Crossup,8,,MACD_Crossdown,8,,DEMA_CrossUp_21_55,8,,DEMA_CrossDown_21_55,8,,PSAR_above,8,1.0,PSAR_below,8,0.0,ADX_up,8,,Broker,8,100000.0,100000.0,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,DataTrades,8,,,,,,,
9,stockpx,9,2010-01-14 00:00:00,,31.1,30.26,30.959999,63228100.0,,stockpx_lag_1,9,2010-01-14 00:00:00,,,,30.860001,,,stockpx_lag_2,9,2010-01-14 00:00:00,,,,31.1,,,stockpx_lag_3,9,2010-01-14 00:00:00,,,,30.59,,,stockpx_lag_4,9,2010-01-14 00:00:00,,,,30.01,,,stockpx_lag_5,9,2010-01-14 00:00:00,,,,28.959999,,,10dORHV,9,2010-01-14 00:00:00,,,,15.09,,,TestStrategy,9,733786.0,PSAR,9,29.91,SMA_Crossup_50_200,9,,SMA_Crossdown_50_200,9,,SMA_Crossup_5_30,9,,SMA_Crossdown_5_30,9,,EMA_Crossup_12_26,9,,EMA_Crossdown_12_26,9,,MACD_Crossup,9,,MACD_Crossdown,9,,DEMA_CrossUp_21_55,9,,DEMA_CrossDown_21_55,9,,PSAR_above,9,0.0,PSAR_below,9,1.0,ADX_up,9,,Broker,9,100000.0,100000.0,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,DataTrades,9,,,,,,,
10,stockpx,10,2010-01-15 00:00:00,,31.24,30.709999,30.860001,79913200.0,,stockpx_lag_1,10,2010-01-15 00:00:00,,,,31.1,,,stockpx_lag_2,10,2010-01-15 00:00:00,,,,30.59,,,stockpx_lag_3,10,2010-01-15 00:00:00,,,,30.01,,,stockpx_lag_4,10,2010-01-15 00:00:00,,,,28.959999,,,stockpx_lag_5,10,2010-01-15 00:00:00,,,,29.32,,,10dORHV,10,2010-01-15 00:00:00,,,,13.88,,,TestStrategy,10,733787.0,PSAR,10,29.9338,SMA_Crossup_50_200,10,,SMA_Crossdown_50_200,10,,SMA_Crossup_5_30,10,,SMA_Crossdown_5_30,10,,EMA_Crossup_12_26,10,,EMA_Crossdown_12_26,10,,MACD_Crossup,10,,MACD_Crossdown,10,,DEMA_CrossUp_21_55,10,,DEMA_CrossDown_21_55,10,,PSAR_above,10,0.0,PSAR_below,10,1.0,ADX_up,10,,Broker,10,100000.0,100000.0,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,DataTrades,10,,,,,,,
