Id,stockpx,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_1,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_2,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_3,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_4,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_5,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_6,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_7,len,datetime,open,high,low,close,volume,openinterest,straddle,len,datetime,open,high,low,close,volume,openinterest,TestStrategy,len,datetime,RSI_Oversold,len,rsi_os_30,RSI_Overbought,len,rsi_ob_70,LRSI_Oversold,len,lrsi_os_03,LRSI_Overbought,len,lrsi_ob_07,TSI_Oversold,len,tsi_os,TSI_Overbought,len,tsi_ob,AO_Oversold,len,ao_os,AO_Overbought,len,ao_ob,UO_Oversold,len,uo_os_30,UO_Overbought,len,uo_ob_60,CCI_Oversold,len,cci_os,CCI_Overbought,len,cci_ob,WR_Oversold,len,wr_os,WR_Overbought,len,wr_ob,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,stockpx,stockpx_lag_1,stockpx_lag_2,stockpx_lag_3,stockpx_lag_4,stockpx_lag_5,stockpx_lag_6,stockpx_lag_7,straddle
1,stockpx,1,2010-01-04 00:00:00,,31.1,30.59,30.950001,38409100.0,,stockpx_lag_1,1,2010-01-04 00:00:00,,,,30.959999,,,stockpx_lag_2,1,2010-01-04 00:00:00,,,,30.77,,,stockpx_lag_3,1,2010-01-04 00:00:00,,,,30.450001,,,stockpx_lag_4,1,2010-01-04 00:00:00,,,,30.66,,,stockpx_lag_5,1,2010-01-04 00:00:00,,,,30.27,,,stockpx_lag_6,1,2010-01-04 00:00:00,,,,30.07,,,stockpx_lag_7,1,2010-01-04 00:00:00,,,,30.35,,,straddle,1,2010-01-04 00:00:00,,,,0.7307605320435648,,,TestStrategy,1,733776.0,RSI_Oversold,1,,RSI_Overbought,1,,LRSI_Oversold,1,,LRSI_Overbought,1,,TSI_Oversold,1,,TSI_Overbought,1,,AO_Oversold,1,,AO_Overbought,1,,UO_Oversold,1,,UO_Overbought,1,,CCI_Oversold,1,,CCI_Overbought,1,,WR_Oversold,1,,WR_Overbought,1,,Broker,1,100000.0,100000.0,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,DataTrades,1,,,,,,,,,
2,stockpx,2,2010-01-05 00:00:00,,31.1,30.639999,30.959999,49749600.0,,stockpx_lag_1,2,2010-01-05 00:00:00,,,,30.77,,,stockpx_lag_2,2,2010-01-05 00:00:00,,,,30.450001,,,stockpx_lag_3,2,2010-01-05 00:00:00,,,,30.66,,,stockpx_lag_4,2,2010-01-05 00:00:00,,,,30.27,,,stockpx_lag_5,2,2010-01-05 00:00:00,,,,30.07,,,stockpx_lag_6,2,2010-01-05 00:00:00,,,,30.35,,,stockpx_lag_7,2,2010-01-05 00:00:00,,,,30.959999,,,straddle,2,2010-01-05 00:00:00,,,,0.7357579251700201,,,TestStrategy,2,733777.0,RSI_Oversold,2,,RSI_Overbought,2,,LRSI_Oversold,2,,LRSI_Overbought,2,,TSI_Oversold,2,,TSI_Overbought,2,,AO_Oversold,2,,AO_Overbought,2,,UO_Oversold,2,,UO_Overbought,2,,CCI_Oversold,2,,CCI_Overbought,2,,WR_Oversold,2,,WR_Overbought,2,,Broker,2,100000.0,100000.0,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,DataTrades,2,,,,,,,,,
3,stockpx,3,2010-01-06 00:00:00,,31.08,30.52,30.77,58182400.0,,stockpx_lag_1,3,2010-01-06 00:00:00,,,,30.450001,,,stockpx_lag_2,3,2010-01-06 00:00:00,,,,30.66,,,stockpx_lag_3,3,2010-01-06 00:00:00,,,,30.27,,,stockpx_lag_4,3,2010-01-06 00:00:00,,,,30.07,,,stockpx_lag_5,3,2010-01-06 00:00:00,,,,30.35,,,stockpx_lag_6,3,2010-01-06 00:00:00,,,,30.959999,,,stockpx_lag_7,3,2010-01-06 00:00:00,,,,30.860001,,,straddle,3,2010-01-06 00:00:00,,,,0.7494818167588058,,,TestStrategy,3,733778.0,RSI_Oversold,3,,RSI_Overbought,3,,LRSI_Oversold,3,,LRSI_Overbought,3,,TSI_Oversold,3,,TSI_Overbought,3,,AO_Oversold,3,,AO_Overbought,3,,UO_Oversold,3,,UO_Overbought,3,,CCI_Oversold,3,,CCI_Overbought,3,,WR_Oversold,3,,WR_Overbought,3,,Broker,3,100000.0,100000.0,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,DataTrades,3,,,,,,,,,
4,stockpx,4,2010-01-07 00:00:00,,30.700001,30.190001000000002,30.450001,50559700.0,,stockpx_lag_1,4,2010-01-07 00:00:00,,,,30.66,,,stockpx_lag_2,4,2010-01-07 00:00:00,,,,30.27,,,stockpx_lag_3,4,2010-01-07 00:00:00,,,,30.07,,,stockpx_lag_4,4,2010-01-07 00:00:00,,,,30.35,,,stockpx_lag_5,4,2010-01-07 00:00:00,,,,30.959999,,,stockpx_lag_6,4,2010-01-07 00:00:00,,,,30.860001,,,stockpx_lag_7,4,2010-01-07 00:00:00,,,,31.1,,,straddle,4,2010-01-07 00:00:00,,,,0.7859020304941833,,,TestStrategy,4,733779.0,RSI_Oversold,4,,RSI_Overbought,4,,LRSI_Oversold,4,,LRSI_Overbought,4,,TSI_Oversold,4,,TSI_Overbought,4,,AO_Oversold,4,,AO_Overbought,4,,UO_Oversold,4,,UO_Overbought,4,,CCI_Oversold,4,,CCI_Overbought,4,,WR_Oversold,4,,WR_Overbought,4,,Broker,4,100000.0,100000.0,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,DataTrades,4,,,,,,,,,
5,stockpx,5,2010-01-08 00:00:00,,30.879998999999998,30.24,30.66,51197400.0,,stockpx_lag_1,5,2010-01-08 00:00:00,,,,30.27,,,stockpx_lag_2,5,2010-01-08 00:00:00,,,,30.07,,,stockpx_lag_3,5,2010-01-08 00:00:00,,,,30.35,,,stockpx_lag_4,5,2010-01-08 00:00:00,,,,30.959999,,,stockpx_lag_5,5,2010-01-08 00:00:00,,,,30.860001,,,stockpx_lag_6,5,2010-01-08 00:00:00,,,,31.1,,,stockpx_lag_7,5,2010-01-08 00:00:00,,,,30.59,,,straddle,5,2010-01-08 00:00:00,,,,0.7654026442445314,,,TestStrategy,5,733780.0,RSI_Oversold,5,,RSI_Overbought,5,,LRSI_Oversold,5,,LRSI_Overbought,5,,TSI_Oversold,5,,TSI_Overbought,5,,AO_Oversold,5,,AO_Overbought,5,,UO_Oversold,5,,UO_Overbought,5,,CCI_Oversold,5,,CCI_Overbought,5,,WR_Oversold,5,,WR_Overbought,5,,Broker,5,100000.0,100000.0,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,DataTrades,5,,,,,,,,,
6,stockpx,6,2010-01-11 00:00:00,,30.76,30.120001000000002,30.27,68754700.0,,stockpx_lag_1,6,2010-01-11 00:00:00,,,,30.07,,,stockpx_lag_2,6,2010-01-11 00:00:00,,,,30.35,,,stockpx_lag_3,6,2010-01-11 00:00:00,,,,30.959999,,,stockpx_lag_4,6,2010-01-11 00:00:00,,,,30.860001,,,stockpx_lag_5,6,2010-01-11 00:00:00,,,,31.1,,,stockpx_lag_6,6,2010-01-11 00:00:00,,,,30.59,,,stockpx_lag_7,6,2010-01-11 00:00:00,,,,30.01,,,straddle,6,2010-01-11 00:00:00,,,,0.8462985166047794,,,TestStrategy,6,733783.0,RSI_Oversold,6,,RSI_Overbought,6,,LRSI_Oversold,6,0.0,LRSI_Overbought,6,1.0,TSI_Oversold,6,,TSI_Overbought,6,,AO_Oversold,6,,AO_Overbought,6,,UO_Oversold,6,,UO_Overbought,6,,CCI_Oversold,6,,CCI_Overbought,6,,WR_Oversold,6,1.0,WR_Overbought,6,0.0,Broker,6,100000.0,100000.0,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,DataTrades,6,,,,,,,,,
7,stockpx,7,2010-01-12 00:00:00,,30.4,29.91,30.07,65912100.0,,stockpx_lag_1,7,2010-01-12 00:00:00,,,,30.35,,,stockpx_lag_2,7,2010-01-12 00:00:00,,,,30.959999,,,stockpx_lag_3,7,2010-01-12 00:00:00,,,,30.860001,,,stockpx_lag_4,7,2010-01-12 00:00:00,,,,31.1,,,stockpx_lag_5,7,2010-01-12 00:00:00,,,,30.59,,,stockpx_lag_6,7,2010-01-12 00:00:00,,,,30.01,,,stockpx_lag_7,7,2010-01-12 00:00:00,,,,28.959999,,,straddle,7,2010-01-12 00:00:00,,,,0.8785736144160605,,,TestStrategy,7,733784.0,RSI_Oversold,7,1.0,RSI_Overbought,7,0.0,LRSI_Oversold,7,0.0,LRSI_Overbought,7,1.0,TSI_Oversold,7,,TSI_Overbought,7,,AO_Oversold,7,,AO_Overbought,7,,UO_Oversold,7,,UO_Overbought,7,,CCI_Oversold,7,,CCI_Overbought,7,,WR_Oversold,7,1.0,WR_Overbought,7,0.0,Broker,7,100000.0,100000.0,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,DataTrades,7,,,,,,,,,
8,stockpx,8,2010-01-13 00:00:00,,30.52,30.01,30.35,51863500.0,,stockpx_lag_1,8,2010-01-13 00:00:00,,,,30.959999,,,stockpx_lag_2,8,2010-01-13 00:00:00,,,,30.860001,,,stockpx_lag_3,8,2010-01-13 00:00:00,,,,31.1,,,stockpx_lag_4,8,2010-01-13 00:00:00,,,,30.59,,,stockpx_lag_5,8,2010-01-13 00:00:00,,,,30.01,,,stockpx_lag_6,8,2010-01-13 00:00:00,,,,28.959999,,,stockpx_lag_7,8,2010-01-13 00:00:00,,,,29.32,,,straddle,8,2010-01-13 00:00:00,,,,0.8606715291515172,,,TestStrategy,8,733785.0,RSI_Oversold,8,0.0,RSI_Overbought,8,0.0,LRSI_Oversold,8,0.0,LRSI_Overbought,8,1.0,TSI_Oversold,8,,TSI_Overbought,8,,AO_Oversold,8,,AO_Overbought,8,,UO_Oversold,8,,UO_Overbought,8,,CCI_Oversold,8,,CCI_Overbought,8,,WR_Oversold,8,0.0,WR_Overbought,8,0.0,Broker,8,100000.0,100000.0,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,DataTrades,8,,,,,,,,,
9,stockpx,9,2010-01-14 00:00:00,,31.1,30.26,30.959999,63228100.0,,stockpx_lag_1,9,2010-01-14 00:00:00,,,,30.860001,,,stockpx_lag_2,9,2010-01-14 00:00:00,,,,31.1,,,stockpx_lag_3,9,2010-01-14 00:00:00,,,,30.59,,,stockpx_lag_4,9,2010-01-14 00:00:00,,,,30.01,,,stockpx_lag_5,9,2010-01-14 00:00:00,,,,28.959999,,,stockpx_lag_6,9,2010-01-14 00:00:00,,,,29.32,,,stockpx_lag_7,9,2010-01-14 00:00:00,,,,29.5,,,straddle,9,2010-01-14 00:00:00,,,,0.8908013309757976,,,TestStrategy,9,733786.0,RSI_Oversold,9,0.0,RSI_Overbought,9,0.0,LRSI_Oversold,9,0.0,LRSI_Overbought,9,1.0,TSI_Oversold,9,,TSI_Overbought,9,,AO_Oversold,9,,AO_Overbought,9,,UO_Oversold,9,,UO_Overbought,9,,CCI_Oversold,9,,CCI_Overbought,9,,WR_Oversold,9,0.0,WR_Overbought,9,1.0,Broker,9,100000.0,100000.0,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,DataTrades,9,,,,,,,,,
10,stockpx,10,2010-01-15 00:00:00,,31.24,30.709999,30.860001,79913200.0,,stockpx_lag_1,10,2010-01-15 00:00:00,,,,31.1,,,stockpx_lag_2,10,2010-01-15 00:00:00,,,,30.59,,,stockpx_lag_3,10,2010-01-15 00:00:00,,,,30.01,,,stockpx_lag_4,10,2010-01-15 00:00:00,,,,28.959999,,,stockpx_lag_5,10,2010-01-15 00:00:00,,,,29.32,,,stockpx_lag_6,10,2010-01-15 00:00:00,,,,29.5,,,stockpx_lag_7,10,2010-01-15 00:00:00,,,,29.67,,,straddle,10,2010-01-15 00:00:00,,,,0.8043484446289321,,,TestStrategy,10,733787.0,RSI_Oversold,10,0.0,RSI_Overbought,10,0.0,LRSI_Oversold,10,0.0,LRSI_Overbought,10,1.0,TSI_Oversold,10,,TSI_Overbought,10,,AO_Oversold,10,,AO_Overbought,10,,UO_Oversold,10,,UO_Overbought,10,,CCI_Oversold,10,,CCI_Overbought,10,,WR_Oversold,10,0.0,WR_Overbought,10,1.0,Broker,10,100000.0,100000.0,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,DataTrades,10,,,,,,,,,
